Question,Answer
창글 과제 제출? 간단하게 하는 거 늦었는데 A+가능..?ㅠㅠㅠ,아니아니 ㅈㅇㅈ교수님
창글 과제 제출? 간단하게 하는 거 늦었는데 A+가능..?ㅠㅠㅠ,헐 응
창글 과제 제출? 간단하게 하는 거 늦었는데 A+가능..?ㅠㅠㅠ,사실 나 어직도 못 냈어 수업듣느라..
전공 진입컷은 1학년 두학기 다 끝내고 평균점수로 보는거야?,웅
전공 진입컷은 1학년 두학기 다 끝내고 평균점수로 보는거야?,그럼 희망있다…지금 과목이 전부 망한것 같아ㅜㅜㅜㅜ
전공 진입컷은 1학년 두학기 다 끝내고 평균점수로 보는거야?,가중평균이야
계절학기 수강신청이 언제야?,22
새내기 과목 전부 b이면 학점 얼마돼?,3
동아리 나갈 때 보통 중앙 동아리는 1학기 지나면 자동으로 나가지나요 아님 1학기 지나고 나가고 싶으면 따로 동아리장에게 말씀을 드려야 하나요?,대부분 전자
"각자 과가 다르면 아예 전공 과목은 같이 들을 슈 없나요??
교양 과목은요?","cl이 되면 될거고 아니어도 비전공인가 머시기 티오로 들어가서 될걸
교양이야 뭐 아무 문제없고"
"각자 과가 다르면 아예 전공 과목은 같이 들을 슈 없나요??
교양 과목은요?","된다 해도 굳이 그럴필요가 없긴해...
교양은 ㅆㄱㄴ"
대동제 앗 수원켐퍼스 대동제는 타학교인 못 들어감 ??팔찌..,들어는 갈 수 있음 근데 성균인존이랑 총학생회 부스는 불가래
국제하계학기 ISS는 뭔가요? 들어야되는 건가요?? 어떤 건지 잘 모르겠고 수강료도 비싸서 고민되는데..,돈많이내고 외국인들이랑 수업듣는거
국제하계학기 ISS는 뭔가요? 들어야되는 건가요?? 어떤 건지 잘 모르겠고 수강료도 비싸서 고민되는데..,"계절학기요
이과면 심지어 겹치는 과목도 거의 없을거에요"
"대동제 굿즈 자과캠 총학생회 계정에러 링크트리 타고 굿즈 사려는데 구글폼이 안떠오 ㅠㅠㅠ
구글폼 작성이 학교계정으로만 가능라다는게 무슨 뜻인가요???",성균관대 킹고 로그인 하시고 gls 한참 옆에 구글 버튼 있는데 그걸로 계정만두시면 됩니다
고명북 수업은 LC 1개단위로 분반 이루어지나?,ㅇㅇ
"고명북 수업은 LC 1개단위로 분반 이루어지나?
내가 23학번 반수 망해서 이 반에 꼽끼는거로 배치되서
잘 모르겠음",LC 1/3 빠졌다는데 그럼 최소 B+보장인거네 거의
"고명북 수업은 LC 1개단위로 분반 이루어지나?
내가 23학번 반수 망해서 이 반에 꼽끼는거로 배치되서
잘 모르겠음",진짜 못하는 애들도
"고명북 수업은 LC 1개단위로 분반 이루어지나?
내가 23학번 반수 망해서 이 반에 꼽끼는거로 배치되서
잘 모르겠음",어 24학번 친구가 그렇게 말해주던데
"고명북 수업은 LC 1개단위로 분반 이루어지나?
내가 23학번 반수 망해서 이 반에 꼽끼는거로 배치되서
잘 모르겠음","한 교수 당 두 LC
나랑 내 친구 교수님 같음"
"고명북 수업은 LC 1개단위로 분반 이루어지나?
내가 23학번 반수 망해서 이 반에 꼽끼는거로 배치되서
잘 모르겠음",ㅇㅇ 성적 배분은 두 엘씨 합쳐서 나누는 걸로…
영쓰 2학년 2학년 때도 TO 많이 풀리나요??,아니요
영쓰 2학년 2학년 때도 TO 많이 풀리나요??,풀리긴 하나요…
영쓰 2학년 2학년 때도 TO 많이 풀리나요??,아니요
영쓰 2학년 2학년 때도 TO 많이 풀리나요??,티오 없음 1학년 때 듣거나 계절에 듣거나
출석 10%인 과목 벌써 출석 5점 까였는데 A는 물 건너 간걸까,중간 기말만 잘보면 딱히 출석은 큰 영향까지는 없는 듯
출석 10%인 과목 벌써 출석 5점 까였는데 A는 물 건너 간걸까,진짜 잘 봐야겠다...
출석 10%인 과목 벌써 출석 5점 까였는데 A는 물 건너 간걸까,결석2 지각1
출석 10%인 과목 벌써 출석 5점 까였는데 A는 물 건너 간걸까,"조졌당 나도 결석 2인데 5점 까였겠네
기말 열심히 하자.."
출석 10%인 과목 벌써 출석 5점 까였는데 A는 물 건너 간걸까,화이팅
에이포용지 학교에서 어디서 구할수잇어요?ㅜㅜ,한장이면 빈 종이 프린트하고 여러장이면 걍 문구점가서 사셈
에이포용지 학교에서 어디서 구할수잇어요?ㅜㅜ,통학이면 디도 지하 ㄱㄱ
에이포용지 학교에서 어디서 구할수잇어요?ㅜㅜ,오 빈종이 프린트 꿀팁이네요
"심입 연구 왜이렇게 빨리 마감될까요… 공지 뜨자마자 거의 들어갔더 생각했는데
이미 다 정원찼고…이러다가 연구 못하고 끝나는경우도있나요??",진짜 ㄹㅇ
"심입 연구 왜이렇게 빨리 마감될까요… 공지 뜨자마자 거의 들어갔더 생각했는데
이미 다 정원찼고…이러다가 연구 못하고 끝나는경우도있나요??",나도 몇주째 그러고 있음
